date,year,month,day,day_of_week,week_of_year,season,workout_type,minutes,minutes_raw,miles,pace_min_per_mile,comments,extras,is_race,race_name,race_distance,race_time,source_file
2003-08-31,2003,8,31,Sunday,35,fall,long run,90.03,90:02,11.2,8.0384,,,0,,,,fall03log.html
2003-09-01,2003,9,1,Monday,36,fall,off,,,,,,,0,,,,fall03log.html
2003-09-02,2003,9,2,Tuesday,36,fall,mile repeats,,,7.0,,"13:30 wu, 12:44 cd 6:37, 6:39, 6:35, 6:29 w/2:20 rest (supposed to be 2:00) first time ever doing mile repeats! Kind of exciting...pleased w/the #s",sp,0,,,,fall03log.html
2003-09-03,2003,9,3,Wednesday,36,fall,run,,(40),7.0,,pretty solid pace,"spb, medball, continuous wu",0,,,,fall03log.html
2003-09-04,2003,9,4,Thursday,36,fall,intervals - boston common,,,6.0,,"17:13 wu, 16:01 cd, 31:12 hills 1 ""long loop"", 7xhills, ""long loop"" -- workout hit me pretty hard",,0,,,,fall03log.html
2003-09-05,2003,9,5,Friday,36,fall,pre-meet,,(20),3.0,,,"turns, escapes, etc. -- a little weird, but I'll bite",0,,,,fall03log.html
2003-09-06,2003,9,6,Saturday,36,fall,,,,6.5,,Can't complain about being 9 seconds off my 5k PR. Splits show that I slowed down a bunch mile 3 but that may have been lack of focus/competition rather than lack of fitness. Splits: 6:34 6:38 7:27 (1.1),38:01 wu/cd,1,Alumni Meet @ Franklin Park,5k,20:39,fall03log.html
2003-09-07,2003,9,7,Sunday,36,fall,long run - nantasket,91.18,91:11,11.0,8.2891,"1 min pickups every 10 min. Run didn't feel great, i.e., I wanted to be working a little harder, could have gone longer",,0,,,,fall03log.html
2003-09-08,2003,9,8,Monday,37,fall,run,,(56),7.0,,need to start doing more miles,"spb, strides",0,,,,fall03log.html
2003-09-09,2003,9,9,Tuesday,37,fall,run,60.02,60:01,7.5,8.0027,"7"" tempo @ end","spb, medball, strides",0,,,,fall03log.html
2003-09-10,2003,9,10,Wednesday,37,fall,"intervals/hills, boston common",57.82,57:49,6.5,8.8954,"legs were lead weights, flagging a lot, probably because I didn't have dinner last night",spb,0,,,,fall03log.html
2003-09-11,2003,9,11,Thursday,37,fall,run,30.68,30:41,4.5,6.8178,legs are heavy,15 min continuous wu,0,,,,fall03log.html
2003-09-12,2003,9,12,Friday,37,fall,pre-meet,25.82,25:49,3.0,8.6067,,,0,,,,fall03log.html
2003-09-13,2003,9,13,Saturday,37,fall,,,,7.0,,"New 5k PR! Awesome race! Mile 1 I just sat back, mile 2 I committed myself to catching a WPI girl and I pulled up to her coming down Bear Cage (as planned). Mile 3 I was running in front of an RPI girl w/WPI behind, running scared trying not to lose a place. She came up on me 3 or 4 times but I never gave up. We were neck and neck coming into the final curve. I thought I couldn't pick up anymore but when I passed by the men's coach he yelled at me and I found more somehow. Pulled away one last time and I broke her! Best display of mental toughness I can remember...it's rare that I'm actually ""racing"" someone. Splits: 6:10 6:44 7:22 (1.1)",37:01 wu/cd,1,Engineer's Cup @ Franklin Park,5k,20:16,fall03log.html
