id,name,type,sport_type,start_date_local,distance_km,moving_time_min,elapsed_time_min,total_elevation_gain_m,elev_high_m,elev_low_m,average_speed_kmh,max_speed_kmh,average_heartrate,max_heartrate,average_watts,max_watts,device_watts,suffer_score,calories,average_cadence,average_temp_c,workout_type,start_latlng,city,state,country,gear_id,trainer,commute,manual,has_heartrate,achievement_count,kudos_count,comment_count,athlete_count,pr_count,photos_count,total_photo_count,description,device_name,map_id
18160069504,"Oooh, clockwise!",Run,Run,2026-04-18 07:34:56,7.613,43.35,44.08,52.0,81.6,37.8,10.54,15.05,152.0,170.0,272.1,355,True,91.0,470.0,82.5,11.4,,"32.941313,-117.153967",,,,g27182744,False,False,False,True,3,2,0,1,0,0,0,"Saw a massive coyote, hazed it, then almost fell into a small ravine while looking at it sideways and running forwards.",Garmin Forerunner 255S,a18160069504
18125139557,🦌,Ride,MountainBikeRide,2026-04-15 14:57:24,11.626,55.58,62.58,152.0,132.2,74.6,12.55,27.58,134.1,165.0,93.5,,False,52.0,489.0,,21.0,,"32.941348,-117.154039",,,,b16859878,False,False,False,True,3,4,0,2,1,0,0,Rode a bike. saw a mule deer.,Garmin Forerunner 255S,a18125139557
18096524962,Afternoon Mountain Bike Ride,Ride,MountainBikeRide,2026-04-13 13:27:56,11.921,48.85,52.4,197.0,125.0,28.4,14.64,38.3,138.7,170.0,112.0,,False,61.0,460.0,,15.5,,"32.94133,-117.154093",,,,b16859878,False,False,False,True,13,4,0,2,7,0,0,,Garmin Forerunner 255S,a18096524962
18070704136,Stanley Park Bike Cruise,Ride,Ride,2026-04-11 09:55:47,9.966,47.27,125.45,31.0,10.4,-2.2,12.65,27.65,99.0,127.0,29.9,,False,7.0,227.0,,9.6,,"49.294114,-123.133379",,,,,False,False,False,True,0,6,0,2,0,2,2,Sea lion sighting ,Garmin Forerunner 255S,a18070704136
18067886449,Vancouver - Stanley Park,Run,Run,2026-04-11 07:32:08,5.865,31.87,31.93,40.0,14.0,-1.6,11.04,15.19,153.1,165.0,283.6,363,True,68.0,342.0,82.8,7.6,,"49.292246,-123.141061",,,,g27182744,False,False,False,True,0,8,0,1,0,0,0,Last day of vacation 😭,Garmin Forerunner 255S,a18067886449
18058256576,Nanaimo - Neck Point Park,Hike,Hike,2026-04-10 11:52:06,0.41,11.28,13.73,1.0,13.6,6.6,2.18,6.9,78.2,88.0,,,,1.0,37.0,50.8,15.4,,"49.234422,-123.967886",,,,,False,False,False,True,0,5,0,1,0,4,4,forgot to start the recording but we did this. Just over a mile. Sea lions and fairy houses https://www.alltrails.com/trail/canada/british-columbia/neck-point-park-loop,Garmin Forerunner 255S,a18058256576
18029237515,Seattle 2 - Green Lake,Run,Run,2026-04-08 08:25:36,9.095,51.83,56.1,96.0,124.8,47.2,10.53,14.4,152.2,174.0,267.5,416,True,115.0,544.0,81.9,5.8,,"47.689507,-122.311257",,,,g27182744,False,False,False,True,1,5,2,1,0,0,0,"""slow run club"" with Emmet which actually involves running sorta fast and then walking for a bit and then running at a medium pace the rest of the way. Beautiful day with a view of Mt. Rainier",Garmin Forerunner 255S,a18029237515
18014763422,Seattle 1,Run,Run,2026-04-07 08:30:00,3.685,21.43,22.23,80.0,119.2,69.2,10.31,16.99,149.4,165.0,276.0,427,True,40.0,221.0,81.9,7.0,,"47.689561,-122.311261",,,,g27182744,False,False,False,True,0,4,0,1,0,0,0,"Squeezing in a quick sanity jog before more sightseeing. Saw a Massachusetts ""low number"" license plate (it's a strange lottery option) with an MIT parking sticker on it.",Garmin Forerunner 255S,a18014763422
18006082735,Kids climbing chaos,RockClimbing,RockClimbing,2026-04-06 13:42:41,0.0,49.3,49.3,0,107.0,102.6,0.0,0.0,84.3,109.0,,,,5.0,103.0,55.3,,28,,,,,,True,False,False,True,0,4,0,1,0,2,2,Met up with other friends in Bellevue. Turns out their kids are also maximum hype. Climbing long rope walls and topping out on boulders. Also quite a bit of yelling ,Garmin Forerunner 255S,a18006082735
17994169668,Child meander,Hike,Hike,2026-04-05 16:25:16,1.037,25.77,38.85,36.0,48.6,11.4,2.42,5.58,73.1,102.0,,,,2.0,81.0,50.6,14.6,,"47.713589,-122.37756",,,,,False,False,False,True,0,7,2,1,0,1,1,Proof of vacation. Met up with Anna de Regt. Kids rode the salmon slide,Garmin Forerunner 255S,a17994169668
