activity_id,lap_index,name,elapsed_time_s,moving_time_s,distance_km,average_speed_kmh,max_speed_kmh,average_heartrate,max_heartrate,average_watts,average_cadence,total_elevation_gain_m,start_date_local
13233365650,1,Lap 1,532,532,1.609,10.91,14.54,143.4,158.0,283.9,83.1,15.2,2024-12-31 10:55:43
13233365650,2,Lap 2,565,565,1.609,10.26,15.55,163.5,170.0,298.7,83.3,40.0,2024-12-31 11:04:37
13233365650,3,Lap 3,586,586,1.609,9.9,13.25,160.5,167.0,267.3,83.7,30.4,2024-12-31 11:14:03
13233365650,4,Lap 4,591,591,1.609,9.79,14.33,160.2,174.0,239.5,83.7,18.2,2024-12-31 11:23:49
13233365650,5,Lap 5,667,630,1.609,9.18,12.67,161.5,172.0,256.3,83.7,44.6,2024-12-31 11:33:40
13233365650,6,Lap 6,700,600,1.609,9.65,13.75,150.6,165.0,261.3,84.2,41.4,2024-12-31 11:44:48
13233365650,7,Lap 7,658,658,1.609,8.82,14.33,166.1,174.0,253.2,83.7,52.6,2024-12-31 11:56:28
13233365650,8,Lap 8,644,607,1.609,9.54,13.46,162.2,168.0,255.3,84.1,34.8,2024-12-31 12:07:27
13233365650,9,Lap 9,536,536,1.609,10.8,15.05,165.7,170.0,256.3,85.0,9.4,2024-12-31 12:18:11
13233365650,10,Lap 10,557,557,1.609,10.4,13.39,167.7,172.0,265.5,84.0,17.4,2024-12-31 12:27:08
13233365650,11,Lap 11,40,40,0.128,11.56,12.46,168.3,169.0,261.0,84.7,0.0,2024-12-31 12:36:26
