segment_id,segment_name,segment_city,segment_state,segment_distance_m,segment_avg_grade,start_lat,start_lng,sport_types,effort_count,first_effort,last_effort,best_time_s,worst_time_s,pr_date,recent_trend,avg_heartrate
41655896,Canyon entrance via Salix,San Diego,California,697.5,-2.5,32.940492,-117.154161,MountainBikeRide,32,2025-08-12 13:35:59,2026-06-16 14:48:25,100,146,2026-01-28 11:55:21,-2.7,94.3
41655826,Salix out to PV,San Diego,California,532.5,3.5,32.937546,-117.156937,MountainBikeRide,24,2025-09-04 13:25:16,2026-06-16 15:45:23,142,387,2025-09-23 16:39:42,-5.1,146.8
34723500,Cataldo East,Lexington,Massachusetts,393.6,-0.1,42.426508,-71.194358,Run,20,2024-11-03 10:12:12,2025-07-09 12:22:21,118,142,2025-04-18 07:48:36,2.0,157.5
4688514,Half way up,San Diego,CA,537.3,2.3,32.934325,-117.168879,MountainBikeRide,19,2025-08-12 13:42:27,2026-05-14 12:46:55,121,160,2026-02-06 15:20:49,3.7,139.1
2387451,Power Line Trail (sprint up),San Diego,CA,1285.14,4.4,32.934518479772784,-117.16893665503446,MountainBikeRide,19,2025-08-12 13:42:38,2026-05-14 12:47:03,400,484,2026-01-28 12:01:01,15.5,151.9
6790509,"Oops, I crapped my pants on Lenkeit bridge",San Diego,CA,67.9,-13.3,32.955355,-117.153056,MountainBikeRide,17,2025-12-09 14:00:47,2026-06-18 15:04:27,13,240,2026-02-25 16:15:37,2.1,142.4
5400192,Fenceline Blast Reverse,San Diego,CA,507.9,-0.1,32.945998,-117.168283,MountainBikeRide,14,2025-08-12 13:54:22,2026-05-14 12:58:28,101,168,2026-04-01 15:09:59,2.2,136.3
12381119,JackalopeClimb,San Diego,California,305.1,7.7,32.954251,-117.152883,MountainBikeRide,14,2025-11-04 15:32:15,2026-06-18 15:06:32,51,70,2026-03-16 15:18:59,0.4,144.0
23261730,West Farm Hill Sprint,Lexington,Massachusetts,214.6,4.5,42.422839,-71.204378,Run,12,2024-10-23 12:23:55,2025-06-26 06:36:42,84,104,2025-04-16 15:43:26,0.7,163.1
13376021,Res end,Arlington,Massachusetts,693.8,0.0,42.431205,-71.190791,Run,12,2024-11-22 11:35:27,2025-07-07 09:02:32,212,267,2025-03-28 16:48:17,-0.1,161.7
1341681,Up Cobbles (full),San Diego,CA,1264.48,5.2,32.930386,-117.17655,MountainBikeRide,12,2025-10-24 13:47:12,2026-06-16 14:57:56,481,775,2026-02-13 15:28:54,46.0,153.3
840348,Cobbles Uphill,San Diego,CA,565.408,7.3,32.9372781,-117.1778545,MountainBikeRide,12,2025-10-24 13:51:33,2026-06-16 15:04:15,252,402,2025-11-25 13:39:53,37.8,160.5
