t,lat,lng,distance_m,altitude_m,velocity_ms,heartrate,cadence,watts,temp_c,moving,grade_pct
0,32.941015,-117.154156,0.0,81.6,0.0,88,0,,,False,-15.4
1,32.941007,-117.154119,2.6,81.6,0.0,89,0,,,True,-15.4
2,32.941003,-117.154121,2.6,81.6,1.3,89,0,,,False,-14.1
3,32.941014,-117.154111,2.6,81.2,0.867,89,0,,,False,-11.4
5,32.940989,-117.154111,5.2,80.8,1.04,89,0,,,True,-11.8
10,32.940959,-117.154092,8.5,80.4,0.843,88,0,,,True,-9.2
15,32.940925,-117.154087,12.3,80.2,0.71,89,0,,,True,-7.6
22,32.940877,-117.154082,17.8,79.8,0.775,86,0,,,True,-8.0
23,32.940872,-117.154083,18.3,79.8,0.75,83,0,,,True,-10.0
24,32.940869,-117.154081,18.5,79.6,0.689,77,0,,,False,-7.4
25,32.940864,-117.154081,19.1,79.6,0.68,74,0,,,True,-2.3
27,32.940855,-117.154082,20.3,79.4,0.5,72,0,,,True,-2.9
34,32.940837,-117.15407,23.1,79.4,0.444,70,0,,,True,-1.6
42,32.940813,-117.15407,25.7,79.6,0.36,67,0,,,True,0.0
43,32.940805,-117.154067,26.6,79.6,0.389,66,0,,,True,0.0
48,32.940774,-117.154034,31.4,79.4,0.95,71,0,,,True,0.0
49,32.940769,-117.15403,32.0,79.4,0.9,77,0,,,True,-3.8
50,32.940766,-117.154024,32.7,79.4,0.871,80,0,,,True,-4.0
51,32.940765,-117.154018,33.2,79.4,0.825,81,0,,,True,-4.8
55,32.940753,-117.15399,36.2,79.2,0.7,76,45,,,True,-4.8
56,32.940748,-117.153988,36.7,79.2,0.7,72,0,,,True,-5.0
58,32.940737,-117.153984,37.9,79.2,0.671,69,0,,,True,-5.6
60,32.940722,-117.153978,39.7,79.0,0.7,70,46,,,True,-4.3
61,32.940716,-117.153973,40.7,79.0,0.8,73,44,,,True,-5.5
67,32.940697,-117.153941,43.9,78.8,0.6,70,0,,,True,-4.3
68,32.940693,-117.153933,44.8,78.8,0.586,70,0,,,True,-3.3
69,32.940685,-117.153925,45.4,78.8,0.587,73,0,,,True,-4.8
71,32.940672,-117.153915,47.2,78.6,0.65,77,0,,,True,-5.2
75,32.940657,-117.153879,51.8,78.6,1.067,76,0,,,True,-5.2
79,32.940657,-117.153833,56.3,78.2,1.137,76,52,,,True,-4.4
80,32.940659,-117.153825,56.9,78.2,1.02,75,52,,,True,-4.0
89,32.94067,-117.153734,65.2,77.8,0.89,76,52,,,True,-3.6
96,32.94067,-117.153663,71.8,77.8,0.931,79,51,,,True,-2.7
97,32.940669,-117.153652,72.9,77.6,0.963,80,51,,,True,-1.9
104,32.940667,-117.153583,79.2,77.6,0.925,78,0,,,True,-3.2
112,32.940667,-117.153509,86.3,77.4,0.893,77,0,,,True,-1.9
116,32.940673,-117.153465,90.4,77.2,0.933,78,51,,,True,-1.7
121,32.940674,-117.153422,94.3,77.2,0.889,78,48,,,True,-2.2
129,32.940668,-117.153334,102.4,77.2,0.923,81,54,,,True,-2.9
131,32.940671,-117.153314,104.2,77.0,0.99,81,53,,,True,-4.8
139,32.940671,-117.153244,110.8,76.6,0.84,80,0,,,True,-5.8
144,32.940665,-117.153194,115.3,76.2,0.854,78,48,,,True,-4.3
148,32.940664,-117.153151,119.7,76.2,0.989,76,50,,,True,-3.0
157,32.940655,-117.153062,127.6,76.0,0.946,74,50,,,True,-2.0
160,32.940652,-117.153029,130.8,76.0,0.925,71,50,,,True,-3.3
164,32.940651,-117.152985,135.0,75.8,1.057,72,51,,,True,-2.9
167,32.940654,-117.152955,138.0,75.6,1.029,75,49,,,True,-3.5
171,32.940655,-117.152914,141.6,75.6,0.943,75,50,,,True,-2.4
179,32.940647,-117.152845,148.1,75.4,0.842,78,0,,,True,-2.3
183,32.940649,-117.152808,151.5,75.4,0.825,81,51,,,True,-1.8
187,32.94065,-117.152769,155.3,75.2,0.9,81,47,,,True,-1.1
196,32.940638,-117.152677,163.8,75.2,0.946,78,50,,,True,-1.9
198,32.940636,-117.152654,165.9,75.2,0.964,78,50,,,True,-1.6
